poolID,liquidity,liquidity24hChange,asset0Symbol,asset0Denom,asset0Amount,asset0gecko,asset1Symbol,asset1Denom,asset1Amount,asset1gecko,volume24h,volume7d,fee
596,58479.96979961099,-4.100247046320336,ATOM,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2549.33607,cosmos,BOOT,ibc/FE2CD1E6828EC0FAB8AF39BAC45BC25B965BA67CCBC50C13A14BD610B0D1E2C4,501396519500,bostrom,1197.423745896957,8378.037805260281,0.3%
597,102889.68706027634,-6.484287928192938,BOOT,ibc/FE2CD1E6828EC0FAB8AF39BAC45BC25B965BA67CCBC50C13A14BD610B0D1E2C4,880916508169,bostrom,OSMO,uosmo,39357.909935,osmosis,4421.304455716783,52504.79035641627,0.2%
600,64132.38714040464,-2.7352169339190833,ATOM,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2792.869134,cosmos,CMDX,ibc/EA3E1640F9B1532AB129A571203A0B9F789A7F14BB66E350DCBFA18E1A1931F0,855236.167418,comdex,2331.6887254458848,15648.0063232969,0.3%
601,72735.2086508195,-3.4299426715272086,CMDX,ibc/EA3E1640F9B1532AB129A571203A0B9F789A7F14BB66E350DCBFA18E1A1931F0,967742.968292,comdex,OSMO,uosmo,27819.005647,osmosis,7227.608494503337,31250.953560139682,0.3%
602,128173.07084511987,-5.064695177933528,CHEQ,ibc/7A08C6F11EF0F59EB841B9F788A87EC9F2361C7D9703157EC13D940DC53031FA,698258.580661936,cheqd-network,OSMO,uosmo,49022.301989,osmosis,18951.200149163942,102327.45263434217,0.2%
604,1110023.3156149117,-2.58835350810732,STARS,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,20912320.717136,stargaze,OSMO,uosmo,425492.719714,osmosis,45343.917487223815,686398.9609700374,0.3%
605,191785.4037434088,-8.922500495214816,HUAHUA,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,476614556.63353,chihuahua-token,OSMO,uosmo,73352.084203,osmosis,55758.6415599534,346120.93624727125,0.2%
606,133769.21983095777,-8.35949220746319,ATOM,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5829.774914,cosmos,HUAHUA,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,332950812.99681,chihuahua-token,9069.601741088149,76260.85807112599,0.3%
608,276087.30948522466,-3.698302523972937,LUM,ibc/8A34AF0C1943FD0DFCDE9ADBF0B2C9959C45E87E6088EA2FC6ADACD59261B8A2,348939605.334547,lum-network,OSMO,uosmo,105595.000473,osmosis,85.78101569867636,2053.2124110890845,0.3%
611,451920.34483755246,-1.9872652294528261,ATOM,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,19710.607173,cosmos,STARS,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,8539297.890082,stargaze,13505.51569100151,212278.55874567394,0.3%
612,5198.769051911642,-1.4041629254142634,XPRT,ibc/A0CC0CF735BFB30E730C70019D4218A1244FF383503FF7579C9201AB93CA9293,9378.178565,persistence,USTC,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,57337.65104,terrausd,21.93112463035049,76.78153871492356,0.3%
613,4941.33350269926,-0.3193031406351599,VDL,ibc/E7B35499CFBEB0FF5778127ABA4FB2C4B79A6B8D3D831D4379C4048C238796BD,132011.280358,vidulum,OSMO,uosmo,1889.909824,osmosis,106.13673510372807,1210.8163319723794,0.2%
615,12524.45397918778,-2.542908030857265,LUM,ibc/8A34AF0C1943FD0DFCDE9ADBF0B2C9959C45E87E6088EA2FC6ADACD59261B8A2,15890335.230722,lum-network,USTC,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,230692.504562,terrausd,100.07384540363472,406.83641763996485,0.3%
