poolID,liquidity,liquidity24hChange,asset0Symbol,asset0Denom,asset0Amount,asset0gecko,asset1Symbol,asset1Denom,asset1Amount,asset1gecko,volume24h,volume7d,fee
766,2641.9523664112635,-4.34198849423892,D9X,ibc/1DE9A32D603EE05E9B8619DF24D90FD518C932AE0B5B3209A986B7262DBADE2A,8275602.624221,,BTSG,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,189504.522233,bitsong,0,0,0.3%
767,1365.112078146516,-4.308967028955445,FONTI,ibc/239A507997222805E441956EBE8087D7E2D05D6535C6D4C75EF8DCF83B3DE1A1,5982051.615721,,BTSG,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,97918.083404,bitsong,0,0,0.3%
768,1425.2734822962907,-4.312101816791078,BTSG,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,102233.398962,bitsong,BJKS,ibc/B3FB7128CE957DE1ADB687A919AA0786C77C62FB1280C07CDD78AEA032D56853,5063123.222258,,0,0,0.3%
769,15071.433177599516,-3.82603824477882,TGD,ibc/1E09CB0F506ACF12FDE4683FB6B34DA62FB4BE122641E0D93AAF98A87675676C,2919167.38876,,OSMO,uosmo,5764.364967,osmosis,0,63.00445394218522,0.25%
770,1066.186899046048,-2.6089936208167117,DVPN,ibc/9712DBB13B9631EDFA9BF61B55F1B2D290B2ADB67E3A4EB3A875F3B6081B3B84,275866.013534,sentinel,DEC,ibc/9BCB27203424535B6230D594553F1659C77EC173E36D9CF4759E7186EE747E84,56419.642915,decentr,1.3237371160357967,13.861241547521399,1.234%
773,70166.35093553536,-3.7957699746803373,DOT,ibc/3FF92D26B407FD61AE95D975712A7C319CDE28DE4D80BDC9978D935932B991D7,3876.2963804098,polkadot,OSMO,uosmo,26836.495565,osmosis,20309.160669119607,64324.555551295605,0.2%
777,118420.17722392785,0.17010461893124013,ODIN,ibc/C360EF34A86D334F625E4CBB7DA3223AEA97174B61F35BB3758081A8160F7D9B,715081.424778,,OSMO,uosmo,45292.116827,osmosis,24642.218258601937,181746.08962037633,0.2%
778,38632.95987931272,3.8969755265934,GLTO,ibc/52C57FCA7D6854AA178E7A183DDBE4EF322B904B1D719FC485F6FFBC1F72A19E,10622492.955062,,OSMO,uosmo,14775.932485,osmosis,2900.1512904670185,16872.675855171856,0.3%
787,12384.70128635761,-2.5833654404574813,GEO,ibc/9B6FBABA36BB4A3BF127AE5E96B572A5197FD9F3111D895D8919B07BC290764A,918636.890898,,OSMO,uosmo,4736.771668,osmosis,82.035951327998,1945.5020666379387,0.3%
789,205743.35961775185,-2.603894886521237,WMATIC,ibc/AB589511ED0DD5FA56171A39978AFBF1371DB986EC1C3526CE138A16377E39BB,104315.88315599634,wmatic,OSMO,uosmo,78667.990615,osmosis,19791.41814463639,138391.7637165494,0.2%
790,17825.307843449085,-1.6124482922483945,GKEY,ibc/7C781B4C2082CD62129A972D47486D78EC17155C299270E3C89348EA026BEAF8,37.072331,,OSMO,uosmo,10908.221147,osmosis,1945.3988983427635,3485.453223227594,0.3%
795,20616.36535798419,-3.2950218533312703,BLD,ibc/2DA9C149E9AD2BD27FEFA635458FB37093C256C1A940392634A16BEA45262604,68103.088425,,OSMO,uosmo,7885.132795,osmosis,891.8123605059376,27481.58948321475,0.2%
